postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded
OL9 7NS,390978,403269,Unsurveyed/Urban,130,Oldham,1,119100.0,False
WV13 2LR,396607,298083,Unsurveyed/Urban,130,Walsall,1,84200.0,False
LS12 1LZ,427859,432937,Unsurveyed/Urban,60,Leeds,1,134900.0,False
SK15 1TS,395560,397900,Unsurveyed/Urban,120,Tameside,1,170200.0,False
TS17 9NN,445771,515362,Unsurveyed/Urban,20,Stockton-on-Tees,1,190600.0,False
LE6 5TE,434472,317426,Cambisols,140,North West Leicestershire,1,,False
DL7 7TB,436925,494915,Unsurveyed/Urban,40,Hambleton,1,,False
S63 8EP,444767,402434,Unsurveyed/Urban,30,Barnsley,1,49700.0,False
NE29 7EN,433353,568651,Unsurveyed/Urban,60,North Tyneside,1,103700.0,False
NE4 5BE,423708,564774,Unsurveyed/Urban,80,Newcastle upon Tyne,1,1533000.0,False
B16 6HG,404832,286162,Unsurveyed/Urban,160,Birmingham,1,,False
S31 8QF,447597,382987,Unsurveyed/Urban,110,Rotherham,1,,False
NR17 1YT,604576,295189,Luvisols,40,Breckland,1,344100.0,False
HX1 2XE,408741,424042,Unsurveyed/Urban,170,Calderdale,1,160000.0,False
DE23 6UE,434930,334819,Unsurveyed/Urban,60,Derby,1,65900.0,False
DN15 8TR,484590,411631,Cambisols,0,North Lincolnshire,8,180700.0,True
B16 9DW,404697,286451,Unsurveyed/Urban,160,Birmingham,1,267900.0,False
B42 1ND,405705,292933,Unsurveyed/Urban,130,Birmingham,1,199700.0,False
PE14 9PN,549808,294942,Gleysols,0,Fenland,1,290800.0,False
LN11 0JE,532609,388048,Unsurveyed/Urban,40,East Lindsey,1,245500.0,False
DL14 9TZ,419602,527202,Stagnosols,100,County Durham,1,142800.0,False
B11 1BB,408400,285700,Unsurveyed/Urban,120,Birmingham,1,225500.0,False
S18 5NX,434331,378559,Unsurveyed/Urban,170,North East Derbyshire,1,,False
DL1 9RG,429177,514182,Unsurveyed/Urban,40,Darlington,1,,False
DH2 2HD,427092,552190,Unsurveyed/Urban,50,County Durham,1,152300.0,False
BD1 1TN,416200,432900,Unsurveyed/Urban,100,Bradford,1,104700.0,False
YO19 6HT,460481,441720,Luvisols,20,Selby,1,873500.0,False
DL1 1TD,429356,514892,Unsurveyed/Urban,40,Darlington,8,164400.0,False
DH1 3QX,426528,541088,Stagnosols,90,County Durham,1,327700.0,False
BD9 5QD,414013,435227,Unsurveyed/Urban,200,Bradford,1,198600.0,False
S72 7EX,441337,409562,Unsurveyed/Urban,50,Barnsley,1,189800.0,False
SK17 1BD,405912,373965,Unsurveyed/Urban,310,High Peak,1,,False
LE8 1BB,459968,299415,Unsurveyed/Urban,90,Oadby and Wigston,1,,False
PE2 2QH,516135,303110,Stagnosols,10,Peterborough,1,,False
B29 5AX,402948,282111,Unsurveyed/Urban,150,Birmingham,1,153100.0,False
PE26 2TT,528050,289703,Gleysols,0,Fenland,8,150000.0,False
SK15 9AR,396371,398527,Unsurveyed/Urban,110,Tameside,1,,False
NG34 7RQ,506920,345495,Unsurveyed/Urban,20,North Kesteven,1,194600.0,False
DL6 1BG,437262,492955,Unsurveyed/Urban,40,Hambleton,1,361400.0,False
B76 9BL,415782,291862,Unsurveyed/Urban,80,Birmingham,1,366700.0,False
NE48 2HR,383472,582658,Gleysols,120,Northumberland,1,277200.0,False
DE1 2PY,435849,335969,Unsurveyed/Urban,50,Derby,1,233700.0,False
WS15 4LW,406659,313336,Luvisols,130,Lichfield,1,344200.0,False
LS14 6XL,434800,434600,Unsurveyed/Urban,70,Leeds,1,169400.0,False
S71 2DE,435843,407835,Unsurveyed/Urban,110,Barnsley,1,156500.0,False
NE63 8HG,426544,587653,Unsurveyed/Urban,30,Northumberland,1,38700.0,False
DE7 6QB,442486,341326,Stagnosols,100,Erewash,1,270500.0,False
DE6 6BD,430595,330716,Planosols,60,South Derbyshire,1,,False
NE8 2TZ,423919,561792,Unsurveyed/Urban,10,Gateshead,1,132900.0,False
B6 7AE,408042,291968,Unsurveyed/Urban,100,Birmingham,1,313800.0,False
B32 2TT,400983,284898,Unsurveyed/Urban,200,Birmingham,1,259900.0,False
NE65 7NU,406034,601825,Cambisols,80,Northumberland,6,228300.0,True
NG9 1AU,452230,337533,Unsurveyed/Urban,50,Broxtowe,1,462700.0,False
BD23 5NJ,399902,463987,Cambisols,190,Craven,1,446000.0,False
HU7 4PX,510774,434392,Unsurveyed/Urban,0,"Kingston upon Hull, City of",6,123200.0,False
NE40 3RQ,415086,564513,Unsurveyed/Urban,60,Gateshead,1,7653600.0,False
NE31 2YY,431770,564490,Unsurveyed/Urban,30,South Tyneside,1,124600.0,False
OL7 0PR,393455,398553,Unsurveyed/Urban,100,Tameside,1,124900.0,False
SK7 1UX,389081,384401,Unsurveyed/Urban,80,Stockport,1,561500.0,False
SK14 5PL,395500,394711,Unsurveyed/Urban,120,Tameside,1,104200.0,False
NR14 7UY,626140,302784,Arenosols,70,South Norfolk,1,454200.0,False
HG3 4ER,419394,461882,Stagnosols,130,Harrogate,1,451600.0,False
S5 0AH,436376,393300,Unsurveyed/Urban,80,Sheffield,1,101700.0,False
PE1 1XF,519073,298672,Unsurveyed/Urban,10,Peterborough,1,2788900.0,False
PE13 3QH,547300,310502,Unsurveyed/Urban,0,Fenland,1,170800.0,False
S1 1PT,435500,387400,Unsurveyed/Urban,70,Sheffield,1,265200.0,False
DN41 8AR,520287,411509,Stagnosols,10,North East Lincolnshire,1,150300.0,False
LN2 4JG,499307,372871,Unsurveyed/Urban,40,Lincoln,1,223500.0,False
OL8 4QF,391057,402824,Unsurveyed/Urban,120,Oldham,1,128700.0,False
B75 5LZ,412400,299700,Unsurveyed/Urban,160,Birmingham,1,382100.0,False
S30 6NR,422249,403178,Stagnosols,220,Barnsley,1,,False
S60 1LZ,442419,392940,Unsurveyed/Urban,30,Rotherham,1,383500.0,False
SK8 4HW,383990,388379,Unsurveyed/Urban,40,Stockport,1,305200.0,False
NR6 7JW,623908,312884,Cambisols,30,Broadland,1,240200.0,False
WF15 8JR,417705,424001,Unsurveyed/Urban,150,Kirklees,1,221600.0,False
NR10 4BP,613553,323725,Cambisols,40,Broadland,1,368900.0,False
DN14 0BU,459681,422075,Arenosols,10,Selby,8,472600.0,False
DN21 2UW,481100,391200,Unsurveyed/Urban,10,West Lindsey,1,110000.0,True
S1 3LE,435267,386869,Unsurveyed/Urban,70,Sheffield,1,607600.0,False
NG23 6QF,479334,366019,Cambisols,10,Newark and Sherwood,1,307700.0,False
DL6 3PF,445407,500445,Stagnosols,80,Hambleton,1,354300.0,False
B13 3EB,407502,281065,Unsurveyed/Urban,150,Birmingham,1,,False
NG32 1BJ,488475,336321,Stagnosols,100,South Kesteven,1,455900.0,False
BD15 7QL,411800,434200,Unsurveyed/Urban,230,Bradford,1,115400.0,False
LE4 7HJ,460725,306998,Unsurveyed/Urban,50,Leicester,1,265000.0,False
NG2 7SZ,457375,335116,Luvisols,50,Rushcliffe,1,323900.0,False
WV8 1ES,387968,303624,Unsurveyed/Urban,110,South Staffordshire,1,234800.0,False
NN16 6LY,499527,278634,Cambisols,30,North Northamptonshire,1,,False
LN10 5EQ,517790,368923,Stagnosols,10,East Lindsey,1,44900.0,False
LE6 1QP,439070,310887,Cambisols,130,North West Leicestershire,1,,False
DE14 9NB,425089,324308,Unsurveyed/Urban,50,East Staffordshire,1,,True
BD17 5JF,414823,438180,Unsurveyed/Urban,70,Bradford,1,322400.0,False
NN16 6SU,499651,278146,Cambisols,50,North Northamptonshire,1,,False
ST15 8DG,390299,334231,Luvisols,100,Stafford,1,316500.0,False
DE14 3GE,423168,321276,Unsurveyed/Urban,50,East Staffordshire,6,219000.0,True
CW1 5FW,372850,356135,Unsurveyed/Urban,50,Cheshire East,1,218400.0,False
NG14 7FX,470765,349979,Gleysols,20,Newark and Sherwood,1,451400.0,False
NG6 8UX,454055,346771,Planosols,60,Nottingham,1,239200.0,False
PE36 6BN,567300,341100,Luvisols,20,King's Lynn and West Norfolk,1,472300.0,False
WS3 3DX,400494,302345,Unsurveyed/Urban,150,Walsall,1,194100.0,False
S80 9ER,458546,379064,Unsurveyed/Urban,40,Bassetlaw,1,,True
LS14 1HT,434269,436974,Unsurveyed/Urban,80,Leeds,1,189700.0,False
S6 5SD,430810,387740,Cambisols,150,Sheffield,1,201100.0,False
TS9 5YQ,452380,508602,Stagnosols,70,Hambleton,1,269800.0,True
HD1 1JL,414300,416800,Unsurveyed/Urban,90,Kirklees,1,694400.0,False
SK10 3HY,389182,374331,Stagnosols,170,Cheshire East,1,270800.0,False
NR6 6QX,621664,312363,Unsurveyed/Urban,30,Broadland,1,234400.0,False
B77 4GG,423475,303712,Planosols,100,Tamworth,1,236900.0,False
NR3 2EX,621300,310600,Unsurveyed/Urban,20,Norwich,1,246600.0,False
DE22 5JX,433536,341214,Arenosols,140,Amber Valley,1,552400.0,False
DN21 2EZ,481549,390056,Unsurveyed/Urban,10,West Lindsey,1,96500.0,False
WS7 9HJ,407198,310387,Cambisols,120,Lichfield,1,309900.0,False
LS25 2XN,441455,432917,Unsurveyed/Urban,70,Leeds,1,246400.0,False
TS6 0PW,454944,517623,Unsurveyed/Urban,60,Redcar and Cleveland,1,146000.0,False
PE21 6HT,532840,343900,Unsurveyed/Urban,0,Boston,1,144600.0,True
DE3 8RH,435217,334057,Unsurveyed/Urban,60,Derby,1,,False
NE38 7RQ,430901,555848,Unsurveyed/Urban,50,Sunderland,1,86700.0,False
LS15 8SH,437001,435577,Unsurveyed/Urban,80,Leeds,1,241500.0,False
S8 0XZ,435091,385099,Unsurveyed/Urban,70,Sheffield,1,235500.0,True
NR18 9JD,610562,300967,Cambisols,40,South Norfolk,1,397500.0,False
NR2 4JB,621873,309420,Unsurveyed/Urban,10,Norwich,1,199800.0,False
ST10 4NN,401939,338551,Cambisols,130,Staffordshire Moorlands,1,290600.0,False
B13 9TX,407710,282176,Unsurveyed/Urban,160,Birmingham,1,269600.0,False
BD19 4BB,420375,427432,Arenosols,150,Kirklees,1,365300.0,False
LS20 8JX,418004,441908,Unsurveyed/Urban,150,Leeds,1,406500.0,False
DL15 0JA,419416,535075,Unsurveyed/Urban,100,County Durham,1,175000.0,False
M34 1FN,392849,394626,Unsurveyed/Urban,100,Tameside,1,,False
BD23 1HG,399811,451845,Stagnosols,120,Craven,5,185900.0,False
YO17 1DH,478688,471801,Leptosols,30,Ryedale,1,,False
YO8 1EG,461525,432471,Unsurveyed/Urban,10,Selby,1,,True
HD5 8UA,417540,415715,Unsurveyed/Urban,100,Kirklees,1,152900.0,False
