postcode,easting,northing,soilType,elevation
M34 7QL,393470,394371,Unsurveyed/Urban,110
OL4 3NQ,395420,405669,Unsurveyed/Urban,210
B36 8TE,411900,289400,Unsurveyed/Urban,90
NE16 3AT,420400,562300,Unsurveyed/Urban,10
WS10 8DE,397726,296656,Unsurveyed/Urban,140
B19 3SG,407027,287734,Unsurveyed/Urban,120
HU2 0YW,510100,429800,Unsurveyed/Urban,10
NR14 7QW,628083,304243,Luvisols,30
BD11 2YQ,418995,425223,Unsurveyed/Urban,90
DN20 8BG,500058,407980,Unsurveyed/Urban,10
LE12 9AZ,447714,319665,Unsurveyed/Urban,70
NG7 5NY,452350,340566,Unsurveyed/Urban,60
DH3 3TA,427536,551546,Unsurveyed/Urban,10
LS22 4DS,440070,450063,Luvisols,30
LE5 5EF,460755,304368,Unsurveyed/Urban,60
B5 5SW,408100,286600,Unsurveyed/Urban,100
OL4 2AN,394103,405419,Unsurveyed/Urban,200
DE1 9QZ,435996,335424,Unsurveyed/Urban,50
S21 4WZ,442104,378323,Leptosols,110
WF14 9DH,419195,420264,Unsurveyed/Urban,50
DE4 2EQ,427401,362720,Planosols,100
BD19 6WR,418995,425223,Unsurveyed/Urban,90
NE13 6DD,421560,577065,Stagnosols,70
NR25 6PE,613814,339947,Cambisols,80
NR31 0NQ,651264,305589,Cambisols,10
DE1 9UB,435446,336356,Unsurveyed/Urban,50
DE6 3BT,425760,341232,Luvisols,130
B5 7NA,406907,285397,Unsurveyed/Urban,110
HU3 2AJ,508400,427800,Unsurveyed/Urban,0
CW1 3SY,370160,357101,Unsurveyed/Urban,50
DE12 6NE,430206,316019,Arenosols,90
NE27 0HX,431010,571797,Stagnosols,60
SK22 4HQ,400801,386190,Stagnosols,160
LE5 5TQ,460808,303139,Unsurveyed/Urban,70
BD13 5JE,407084,437234,Stagnosols,170
DE13 9LW,421455,329112,Gleysols,60
NE38 7NB,431045,555798,Unsurveyed/Urban,50
B19 2JP,407117,289133,Unsurveyed/Urban,110
S10 1LA,433237,387644,Unsurveyed/Urban,190
BD16 1DR,411010,438666,Unsurveyed/Urban,80
B15 2TW,404729,283680,Unsurveyed/Urban,140
SK13 9XS,401848,393445,Stagnosols,180
NG24 2UE,483370,354470,Gleysols,30
LS8 2RJ,432990,436253,Unsurveyed/Urban,80
DH8 6QT,411100,553600,Stagnosols,240
DN22 1EZ,469683,382650,Gleysols,10
DN2 5BX,458767,403838,Unsurveyed/Urban,20
HU8 7HJ,510402,429563,Unsurveyed/Urban,10
LE11 2AP,454279,318367,Unsurveyed/Urban,40
BD1 4PP,416200,433400,Unsurveyed/Urban,120
B77 3AU,423242,304653,Gleysols,70
NR13 4BP,636065,308134,Cambisols,20
LS5 3HR,426833,435787,Unsurveyed/Urban,70
PE38 0JJ,562257,298556,Gleysols,10
WS8 6HY,404770,305814,Unsurveyed/Urban,150
NE26 4HX,432912,576933,Stagnosols,20
CW10 9PD,370607,365900,Unsurveyed/Urban,40
DN21 5WY,481607,390035,Unsurveyed/Urban,10
YO16 7WW,518199,466875,Unsurveyed/Urban,10
