postcodeSector,households,numberOfPostcodeUnits,headcount
AL1  1,2546,311,6080
AL1  2,2642,236,6942
AL1  3,2272,388,5821
AL1  4,3707,339,9635
AL1  5,4406,347,10560
AL10 0,4404,334,10300
AL10 8,4181,338,11449
AL10 9,4662,361,17184
AL2  1,3906,330,9815
AL2  2,2597,285,6122
AL2  3,3320,364,8274
AL3  4,2416,275,6219
AL3  5,3555,330,8729
AL3  6,1645,214,4579
AL3  7,2274,245,5346
AL3  8,1919,238,4747
AL4  0,3566,395,10462
AL4  8,2670,281,6561
AL4  9,4820,381,11409
AL5  1,2459,273,6414
AL5  2,1913,326,4668
AL5  3,1678,189,5030
AL5  4,2588,342,7137
AL5  5,3255,286,8425
AL6  0,2596,340,6604
AL6  9,2112,316,5734
AL7  1,2523,357,6594
AL7  2,3404,222,7584
AL7  3,4186,315,11086
AL7  4,4624,303,11663
AL8  6,2760,326,6078
AL8  7,3014,273,7518
AL9  5,970,197,2816
AL9  6,583,142,1755
AL9  7,2902,275,7135
B1   1,2439,273,4602
B1   2,1623,240,2940
B1   3,643,203,2486
B10  0,2608,236,9283
B10  9,4674,221,19015
B11  1,3329,265,12475
B11  2,1156,203,4331
B11  3,5650,250,18633
B11  4,3086,213,12508
B12  0,1909,273,4842
B12  8,2572,253,8668
B12  9,2433,223,8322
B13  0,5438,271,14531
B13  8,3664,225,7718
B13  9,6644,372,16434
B14  4,5333,257,13053
B14  5,4984,268,10658
B14  6,5117,244,11668
B14  7,3377,264,7908
B15  1,1201,243,2888
B15  2,3376,324,11376
B15  3,2063,274,6303
B16  0,3672,235,10321
B16  8,3762,338,8499
B16  9,3445,237,6885
B17  0,4271,265,9385
B17  8,3558,261,9827
B17  9,3601,271,7900
B18  4,2146,183,6588
B18  5,2108,214,5483
B18  6,1107,214,2326
B18  7,1117,133,3183
B19  1,2687,200,10161
B19  2,2656,239,9951
B19  3,1347,243,4650
B2   4,357,250,321
B2   5,146,211,180
B20  1,2830,179,8640
B20  2,3881,276,12215
B20  3,4731,296,16287
B21  0,3538,243,10155
B21  8,3354,160,9604
B21  9,3445,235,10708
B23  5,6940,375,17848
B23  6,5296,310,11871
B23  7,7030,344,18609
B24  0,4682,274,11067
B24  8,3113,219,8724
B24  9,4591,269,9966
B25  8,6148,340,18043
B26  1,4602,198,10922
B26  2,4728,244,12471
B26  3,4605,303,11208
B27  6,4032,253,10467
B27  7,6173,290,16151
B28  0,5605,334,15042
B28  8,2712,209,9447
B28  9,2963,209,8135
B29  4,2778,192,6545
B29  5,4282,247,10591
B29  6,4496,344,16201
B29  7,4021,239,12821
B3   1,1686,262,2762
B3   2,98,249,181
B30  1,4569,274,10534
B30  2,5087,296,11297
B30  3,3367,218,7772
B31  1,4992,271,11731
B31  2,5370,352,13696
B31  3,4967,278,11370
B31  4,4532,262,10338
B31  5,3853,204,10910
B32  1,3989,219,9439
B32  2,5233,280,13621
B32  3,5214,280,11527
B32  4,2315,137,5130
B33  0,4729,312,11062
B33  8,4655,262,13751
B33  9,4744,263,12802
B34  6,4717,207,11657
B34  7,3655,177,8868
B35  6,1973,173,4233
B35  7,2326,197,5667
B36  0,5396,250,13606
B36  8,4589,257,13873
B36  9,4054,210,9406
B37  5,4461,240,10353
B37  6,5139,248,12473
B37  7,5949,372,14848
B38  0,811,71,1888
B38  8,4015,260,9126
B38  9,4383,261,10103
B4   6,200,245,1588
B4   7,452,222,5391
B42  1,4335,267,10981
B42  2,5301,293,14100
B43  5,4686,220,10994
B43  6,2827,202,7044
B43  7,4604,247,12172
B44  0,6109,278,15905
B44  8,4258,259,10420
B44  9,5003,258,11418
B45  0,3182,141,7227
B45  8,4517,347,12377
B45  9,5376,337,12847
B46  1,3208,273,7328
B46  2,921,192,2411
B46  3,1277,136,3055
B47  5,2887,173,6586
B47  6,1216,120,3577
B48  7,2469,244,6055
B49  5,2108,216,4105
B49  6,2558,239,6181
B5   4,1571,218,1832
B5   5,178,180,1116
B5   6,190,176,683
B5   7,3480,313,9491
B50  4,2232,225,6979
B6   4,376,192,1315
B6   5,1518,160,4940
B6   6,3079,199,11373
B6   7,1126,240,3195
B60  1,3366,234,7014
B60  2,3273,239,7795
B60  3,3857,257,9314
B60  4,1506,177,3747
B61  0,4224,295,11700
B61  7,2056,178,5282
B61  8,2627,225,6866
B61  9,1063,158,2544
B62  0,2689,186,6494
B62  8,3451,267,7979
B62  9,4377,256,11076
B63  1,2487,137,5836
B63  2,5230,296,12459
B63  3,3555,313,8396
B63  4,4741,273,10454
B64  5,1762,225,4914
B64  6,3174,207,7292
B64  7,2416,199,6297
B65  0,2699,235,6225
B65  8,3169,193,8476
B65  9,4365,213,10166
B66  1,1128,227,4510
B66  2,538,247,3037
B66  3,2676,247,9422
B66  4,3309,229,9607
B67  5,4436,221,9824
B67  6,4125,206,12100
B67  7,3579,211,10686
B68  0,4107,225,9779
B68  8,4133,221,11001
B68  9,4624,244,12862
B69  1,6143,294,15539
B69  2,2179,206,6038
B69  3,1431,159,4642
B69  4,2228,279,5598
B7   4,1514,234,4406
B7   5,2014,203,5524
B70  0,2747,281,8616
B70  6,2853,246,7672
B70  7,1292,222,4271
B70  8,1314,234,5405
B70  9,3014,266,8092
B71  1,3344,219,8978
B71  2,4144,212,10616
B71  3,3895,225,9702
B71  4,1639,134,4085
B72  1,4043,374,9798
B73  5,5863,338,12866
B73  6,4075,307,10487
B74  2,4204,335,9596
B74  3,4777,314,10987
B74  4,5006,323,11887
B75  5,3400,298,8703
B75  6,3742,264,8606
B75  7,4173,274,10278
B76  0,170,45,376
B76  1,5037,363,11185
B76  2,2860,152,6735
B76  9,1376,138,3010
B77  1,4430,216,10733
B77  2,5842,265,14032
B77  3,3738,191,9226
B77  4,5695,268,14069
B77  5,3606,246,9152
B78  1,4236,255,10390
B78  2,1894,164,4562
B78  3,4315,305,9847
B79  0,1298,169,4457
B79  7,3141,319,6347
B79  8,4556,261,11352
B79  9,948,108,2240
B8   1,2893,240,11953
B8   2,4963,289,17682
B8   3,4522,249,16974
B80  7,3106,254,7271
B9   4,1588,244,4935
B9   5,6113,330,22380
B90  1,4811,315,12660
B90  2,5379,264,12625
B90  3,4357,290,11159
B90  4,4766,393,12700
B91  1,4402,302,11512
B91  2,5208,325,11705
B91  3,4334,396,10624
B92  0,1732,190,4213
B92  7,5449,249,12176
B92  8,5406,267,12445
B92  9,3545,200,8236
B93  0,1636,188,3929
B93  8,3143,275,8095
B93  9,3433,230,8044
B94  5,1660,201,3601
B94  6,1476,221,4079
B95  5,1914,260,4318
B95  6,886,120,2037
B96  6,2325,237,5290
B97  4,2547,235,5759
B97  5,7155,396,16989
B97  6,4234,293,12334
B98  0,6039,308,14350
B98  7,7995,375,20258
B98  8,3965,247,8704
B98  9,2717,198,6985
BA1  1,1072,354,1987
BA1  2,3896,398,6264
BA1  3,3235,273,7258
BA1  4,2394,151,5669
BA1  5,2274,304,4942
BA1  6,4027,310,8108
BA1  7,2422,241,5856
BA1  8,384,79,866
BA1  9,105,68,1296
BA10 0,1474,200,3674
BA11 1,2450,285,6627
BA11 2,4826,356,10265
BA11 3,2199,234,5201
BA11 4,2817,228,6263
BA11 5,1500,172,4783
BA11 6,844,104,2149
BA12 0,2542,266,5536
BA12 6,2057,247,4397
BA12 7,1428,250,3371
BA12 8,4140,300,9432
BA12 9,3068,261,6712
BA13 2,458,22,1059
BA13 3,5641,391,14469
BA13 4,2619,329,6416
BA14 0,5356,357,12608
BA14 6,2599,273,7220
BA14 7,6296,371,17096
BA14 8,2819,362,6835
BA14 9,3536,284,9050
BA15 1,4354,367,9901
BA15 2,1726,233,4167
BA16 0,4333,344,11387
BA16 9,1136,92,2579
BA2  0,2016,202,4878
BA2  1,5451,268,13054
BA2  2,4425,299,11410
BA2  3,3358,316,11608
BA2  4,2905,286,6243
BA2  5,3199,269,7861
BA2  6,3052,324,6727
BA2  7,2231,348,7866
BA2  8,3197,274,7959
BA2  9,687,117,2799
BA20 1,1305,327,3169
BA20 2,3777,349,8723
BA21 3,6506,343,15027
BA21 4,4079,241,9558
BA21 5,4318,314,11613
BA22 7,1747,230,3944
BA22 8,3413,372,9681
BA22 9,2496,283,5363
BA3  2,4233,331,10616
BA3  3,4293,373,11010
BA3  4,2952,377,8579
BA3  5,2973,377,7244
BA4  4,2126,300,5367
BA4  5,3730,348,8365
BA4  6,1968,265,4736
BA5  1,2803,341,6830
BA5  2,3553,366,7655
BA5  3,1919,251,4660
BA6  8,2935,356,6637
BA6  9,3100,351,6686
BA7  7,1725,237,3919
BA8  0,1953,232,4387
BA9  8,700,146,1725
BA9  9,2730,293,6929
BB1  1,4131,282,12675
BB1  2,3791,229,8568
BB1  3,1236,166,3851
BB1  4,3065,178,6734
BB1  5,2918,294,8722
BB1  6,968,157,4176
BB1  7,1276,142,3790
BB1  8,3465,212,11328
BB1  9,4347,248,10770
BB10 1,3843,299,10853
BB10 2,4356,319,11281
BB10 3,3581,264,9132
BB10 4,5052,248,10045
BB11 2,2247,232,5190
BB11 3,2124,226,5375
BB11 4,2993,232,6910
BB11 5,3114,277,7061
BB12 0,3284,233,8295
BB12 6,4038,243,9084
BB12 7,3245,257,7376
BB12 8,3810,297,8200
BB12 9,1314,182,3297
BB18 5,3634,312,7930
BB18 6,4341,338,9321
BB2  1,2514,232,5238
BB2  2,2112,265,5014
BB2  3,4287,305,11082
BB2  4,6417,337,15115
BB2  5,3025,185,7519
BB2  6,3649,250,11372
BB2  7,2961,220,7631
BB3  0,3949,283,8948
BB3  1,2941,256,6401
BB3  2,4343,329,9125
BB3  3,4378,279,9610
BB4  4,3243,229,7189
BB4  5,2677,252,6477
BB4  6,3487,273,7849
BB4  7,2709,293,5694
BB4  8,3739,349,9275
BB4  9,2616,269,5860
BB5  0,3712,268,10849
BB5  1,2047,248,4495
BB5  2,3643,268,8219
BB5  3,3811,258,7849
BB5  4,3944,245,8950
BB5  5,5039,380,11643
BB5  6,4712,301,10927
BB6  7,5058,331,10966
BB6  8,1533,119,3902
BB7  1,3592,243,8113
BB7  2,3203,274,8749
BB7  3,1400,125,2811
BB7  4,2234,286,5341
BB7  9,3653,390,10615
BB8  0,3018,226,5558
BB8  7,2143,214,5023
BB8  8,2300,255,5371
BB8  9,3387,242,7175
BB9  0,5019,291,12109
BB9  5,2575,250,7952
BB9  6,2145,237,4541
BB9  7,2258,312,8811
BB9  8,3668,277,8961
BB9  9,2996,278,7575
BD1  1,263,261,445
BD1  2,326,225,1477
BD1  3,463,214,1362
BD1  4,462,255,1366
BD1  5,509,239,1310
BD10 0,3796,308,10596
BD10 8,4338,330,10865
BD10 9,2989,259,6658
BD11 1,2463,165,5659
BD11 2,2590,189,5925
BD12 0,2416,258,4960
BD12 7,877,102,1940
BD12 8,2178,204,5188
BD12 9,2105,177,4811
BD13 1,1735,214,4276
BD13 2,3265,278,8166
BD13 3,3086,286,7045
BD13 4,1561,169,3801
BD13 5,1369,138,3419
BD14 6,3482,273,9010
BD15 0,1851,164,4417
BD15 7,3325,298,8662
BD15 9,1260,81,3043
BD16 1,4450,345,9209
